PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,Mora_mas_90
48,3,786,SOLTERO,43369.97194,32204.40693,0
46,6,816,CASADO,54677.21496,145080.504,0
48,6,697,SOLTERO,365322.9382,391723.7872,0
48,5,864,CASADO,229989.5833,326959.6749,0
24,4,864,CASADO,72657.70553,139726.3568,0
36,1,762,SOLTERO,13605.37438,47061.81179,0
24,1,826,SOLTERO,45972.38472,404411.905,0
48,2,894,CASADO,87995.57486,137076.6203,0
36,1,765,CASADO,43800,60000,0
24,1,760,CASADO,53182.93753,87208.58035,0
12,2,684,SOLTERO,8665.770061,71942.24202,0
48,2,741,VIUDO,146110.1133,223863.9492,0
24,3,,CASADO,189908.9815,144894.9503,0
18,6,549,CASADO,94175.03787,167218.116,0
36,1,675,CASADO,45172.97714,88179.90138,0
33,4,565,DIVORCIADO,33090.40748,91047.57088,0
36,2,,CASADO,102778.8181,231831.9204,0
48,9,670,CASADO,119804.5743,181088.8554,0
48,10,714,CASADO,99205.71332,176986.7186,0
48,11,703,CASADO,115085.0872,158565.3848,0
15,1,,SOLTERO,75713.88805,148707.5166,0
12,10,689,SOLTERO,109266.011,250110.1787,0
18,1,879,DIVORCIADO,98931.70099,173464.0615,0
24,8,,CASADO,109827.3928,208638.6642,0
14,2,728,SOLTERO,31593.68816,234304.6354,0
24,5,137,CASADO,99122.32084,99122.32084,0
45,1,931,CASADO,29676.15218,63917.86623,0
48,2,758,DIVORCIADO,163353.9612,371259.0027,0
24,1,794,SOLTERO,64314.66001,137817.1286,0
48,1,,CASADO,183370.9646,286133.9171,0
48,1,736,CASADO,240833.6367,199485.6931,0
24,6,698,DIVORCIADO,514105.3237,1286951.654,0
48,1,,CASADO,293460.5726,270470.5738,0
48,2,598,CASADO,261567.7399,260822.5327,0
10,3,852,CASADO,50808.86326,144894.9503,0
24,4,,SOLTERO,116503.8301,330483.6441,0
36,7,882,DIVORCIADO,75775.07512,190906.197,0
25,8,837,DIVORCIADO,73962.10235,178056.9131,0
12,2,633,DIVORCIADO,72660.69053,143846.0685,0
48,2,,CASADO,43480.29762,112664.8787,0
36,1,950,DIVORCIADO,105097.1373,139099.1523,0
24,3,,CASADO,595538.2031,191947.5711,0
36,3,,DIVORCIADO,134462.5139,130405.4552,0
6,2,,DIVORCIADO,134877.0299,238883.0229,0
5,3,,DIVORCIADO,145443.2053,235755.8191,0
48,1,,CASADO,106000,170000,0
5,16,786,CASADO,88546.24909,168580.0407,0
48,1,,SOLTERO,37726.11633,232504.6577,1
36,1,892,CASADO,81692.12725,129807.4056,0
18,1,736,CASADO,28300,216000,0
36,7,476,SOLTERO,27373.39274,108492.1054,0
6,5,614,CASADO,27474.62045,108810.378,0
48,4,,SOLTERO,89856.76784,262771.3252,0
39,5,818,CASADO,39216.53081,104329.0131,0
24,2,820,CASADO,164921.1639,433388.9304,0
24,2,,DIVORCIADO,43614.82653,134199.4662,0
36,5,858,CASADO,327238.1961,230082.7342,0
35,5,826,SOLTERO,32882.2693,139726.3568,0
12,4,711,CASADO,156812.7311,679531.2637,0
36,1,909,CASADO,66509.74583,279452.7136,0
